SURID	NEWS	BEAUTY	MUSIC	FITNESS	RELIGION	SCIENCE	LITERARY	SPORTS	EARLY	MORNING	DAYTIME	PRIME	EVENING	LATE	COMEDY	SOAPS	GENERAL	LEGAL	MEDICAL	MOVIES	VARIETY	NEWSSHOW	KIDS	INFO	ACTION	GAME	MVIDEO	MYSTERY	SPORT	TALK	WEIGHT	THIGHS	BUTTOCKS	HIPS	STOMACH	LEGS	WAIST	TONE	EARS	LIPS	WRISTS	HANDS	FOREHEAD	NECK	CHIN	FEET	BUST	MACS1	MACS2	MACS3	MACS4	MACS5	MACS6	MACS7	MACS8	MACS9	MACS10	MACS11	MACS12	MACS13	MACS14	MACS15	MACS16	MACS17	MACS18	MACS19	MACS20	MACS21	MACS22	MACS23	MACS24	MACS25	MACS26	MACS27	MACS28	MACS29	MACS30	MACS31	MACS32	MACS33	DIET1	DIET2	DIET3	DIET4	DIET5	DIET6	DIET7	DIET8	DIET9	DIET10	DIET11	DIET12	DIET13	DIET14	DIET15	DIET16	DIET17	DIET18	ASSESS	AGE	CLASS	ANXIETY	GOODDIET	TOTMAC	APPROVE	CONTROL	RIGID	TOTTV
219	1	6	6	3	4	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	7	0	0	1	0	2	0	4	0	1	0	0	0	0	0	0	0	0	2	0	3	1	2	1	1	1	2	2	1	5	1	1	1	1	1	2	1	1	2	1	1	1	1	5	1	5	1	5	5	5	1	1	1	1	3	4	1	0	2	0	4	0	1	0	4	0	0	0	0	4	0	4	2	2	2	12	23	62	19	7	36	2
220	3	6	5	5	6	2	2	3	0	0	1	2	2	1	4	0	2	1	4	1	3	1	1	1	1	3	4	0	2	3	4	4	4	2	4	3	4	4	0	0	0	0	0	0	0	2	2	2	2	1	5	2	2	2	4	2	4	5	2	4	3	4	4	0	2	4	2	2	3	2	2	3	2	3	4	2	2	3	4	2	2	1	3	2	4	2	1	3	2	1	3	2	1	3	4	3	2	3	2	2	2	33	23	90	22	19	49	6
221	1	5	5	4	2	1	0	1	0	0	1	2	3	0	3	1	1	1	1	0	1	1	0	0	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	3	4	4	4	4	2	2	4	3	4	3	3	3	4	2	3	3	2	4	3	2	3	2	3	2	3	3	2	2	4	2	4	3	2	4	2	0	2	3	3	0	2	3	4	0	0	0	4	2	0	4	2	2	2	7	27	99	19	18	62	6
222	2	6	4	5	6	1	6	4	0	0	2	2	0	1	4	0	2	0	1	0	1	1	0	1	0	3	1	1	0	2	3	2	4	2	3	3	3	3	0	2	0	0	0	0	0	0	3	2	1	3	4	3	2	3	1	2	3	2	4	1	1	4	1	1	3	2	2	4	2	1	1	3	1	3	1	2	1	1	3	1	2	3	2	1	2	3	2	3	2	3	4	3	0	1	2	1	3	2	2	2	2	28	21	69	15	20	34	5
223	1	6	6	2	6	0	0	0	NA	NA	NA	2	2	1	5	0	3	2	2	1	1	4	1	0	5	1	7	0	0	6	0	2	0	0	2	3	3	4	0	1	1	1	2	0	0	0	2	3	1	1	1	1	1	3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	4	4	3	0	3	1	2	0	2	2	2	1	0	0	2	1	0	3	2	2	2	21	25	43	7	6	30	5
224	6	6	6	6	5	4	6	6	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	1	1	1	2	0	1	2	3	4	4	0	4	4	4	4	1	4	4	4	4	4	1	4	4	5	5	3	5	5	1	5	4	5	5	5	5	4	4	1	2	2	4	5	5	5	2	2	4	2	3	1	4	1	5	4	5	5	1	0	4	0	1	1	1	0	1	4	1	3	2	0	4	4	4	2	NA	2	2	57	15	123	21	24	78	1
225	5	5	6	0	2	0	4	2	0	0	2	1	0	0	4	1	2	0	1	4	0	1	0	0	0	1	1	0	0	1	2	2	2	2	3	3	3	3	2	2	1	4	1	1	1	1	4	3	2	2	5	4	4	2	1	2	5	4	5	1	2	5	2	4	5	5	1	4	4	3	1	2	2	5	1	1	4	3	5	5	2	4	4	0	4	1	2	0	3	4	2	1	1	0	2	3	1	3	2	2	2	37	26	104	21	26	57	3
226	5	5	3	1	0	0	0	6	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	3	1	0	1	0	1	0	0	1	2	0	1	2	0	0	1	0	0	0	0	4	1	1	1	1	1	5	3	1	1	3	4	1	1	1	5	1	1	3	1	1	1	1	3	1	5	1	2	3	5	1	5	1	1	2	3	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	2	2	12	7	67	21	12	34	2
227	4	6	6	5	1	1	4	3	0	0	1	1	1	1	2	0	0	0	0	2	1	1	7	0	0	0	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	34	18	99	21	18	60	4
228	4	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	1	1	7	0	0	1	2	0	1	0	1	0	1	1	1	4	0	1	0	0	0	0	0	0	0	4	4	1	1	1	1	1	5	1	3	3	2	2	1	1	3	3	3	1	5	1	1	1	1	5	1	5	3	1	3	2	1	5	1	1	2	2	2	2	2	1	0	0	0	2	2	0	2	0	0	1	0	3	2	2	2	17	13	70	18	11	41	2
229	1	2	1	1	6	1	1	0	0	0	1	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	4	4	1	1	1	5	1	1	1	1	1	1	1	1	5	1	1	5	1	1	1	1	5	1	5	1	2	5	5	1	5	1	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	1	1	3	NA	3	2	5	19	72	20	10	42	5
230	4	3	1	4	4	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	4	4	4	4	4	4	2	0	0	0	0	0	3	1	1	2	4	1	5	1	5	3	1	1	1	3	5	1	5	1	1	4	1	1	1	1	1	1	1	3	5	1	5	5	1	1	1	1	5	5	4	4	4	0	4	4	2	0	4	0	4	0	0	0	4	4	0	4	6	2	2	37	34	78	11	25	42	0
231	4	6	6	0	3	0	2	6	0	0	2	3	3	0	2	0	0	2	4	4	0	1	0	0	0	2	5	1	2	1	1	3	2	3	4	1	2	3	0	0	0	0	0	0	2	1	4	2	3	2	5	1	2	2	2	4	3	2	2	1	2	3	2	2	1	2	1	1	2	1	2	3	3	2	1	4	1	1	2	1	4	4	1	0	1	0	0	0	4	4	0	2	0	0	2	1	0	4	5	2	2	26	20	68	13	17	38	8
232	1	6	4	4	1	0	0	0	0	0	0	2	3	2	7	0	4	0	1	4	1	0	0	0	0	0	7	0	1	3	1	3	2	1	1	2	0	3	0	1	0	0	0	0	1	0	2	1	1	1	1	1	2	2	1	2	1	3	1	1	1	3	1	1	1	4	3	3	1	1	1	1	2	3	1	1	2	1	1	1	4	4	1	0	1	0	3	0	2	4	3	0	0	0	2	1	0	4	2	3	3	17	24	51	11	11	29	7
233	5	5	5	4	5	1	1	5	0	1	1	NA	NA	3	2	1	0	1	0	1	0	1	1	0	0	1	2	0	2	1	4	4	2	4	4	3	3	3	0	0	0	0	0	0	1	0	2	4	5	4	4	5	4	2	4	3	5	4	5	2	2	4	2	2	5	4	1	4	4	4	3	4	3	2	2	2	4	3	4	3	2	1	1	0	2	1	1	3	2	4	4	4	2	2	3	0	1	1	5	3	3	30	17	113	23	25	65	5
234	2	5	4	3	4	1	1	3	0	0	1	1	0	0	2	0	0	0	1	2	0	0	0	1	1	1	2	0	2	2	1	2	1	1	1	1	2	3	0	0	0	0	0	0	0	1	1	2	4	4	2	2	2	3	3	3	4	1	3	1	2	4	1	1	3	1	1	3	1	3	1	1	1	3	1	1	1	1	2	1	2	4	3	1	3	3	3	0	3	0	4	0	0	0	3	3	2	1	2	3	3	14	26	67	12	17	38	2
